round,train_acc,val_acc,test_acc,dataset,model,method,seed,mean_client_test_acc
37,0.9703886489821099,0.8701298701298701,0.8813868613138686,Cora,gcn,centralized,0,
38,0.972239358420728,0.8738404452690167,0.8795620437956204,Cora,gcn,centralized,0,
39,0.9759407772979642,0.8794063079777366,0.8832116788321168,Cora,gcn,centralized,0,
40,0.9771745835903763,0.8831168831168831,0.8813868613138686,Cora,gcn,centralized,0,
41,0.9771745835903763,0.8812615955473099,0.8832116788321168,Cora,gcn,centralized,0,
42,0.9771745835903763,0.8775510204081632,0.8795620437956204,Cora,gcn,centralized,0,
43,0.974090067859346,0.8719851576994434,0.8813868613138686,Cora,gcn,centralized,0,
44,0.9765576804441702,0.8719851576994434,0.8759124087591241,Cora,gcn,centralized,0,
45,0.9784083898827884,0.8719851576994434,0.8795620437956204,Cora,gcn,centralized,0,
46,0.9784083898827884,0.8738404452690167,0.8777372262773723,Cora,gcn,centralized,0,
47,0.9784083898827884,0.87569573283859,0.8777372262773723,Cora,gcn,centralized,0,
48,0.9796421961752005,0.8775510204081632,0.8759124087591241,Cora,gcn,centralized,0,
49,0.9790252930289944,0.87569573283859,0.8740875912408759,Cora,gcn,centralized,0,
50,0.9808760024676126,0.8701298701298701,0.8759124087591241,Cora,gcn,centralized,0,
51,0.9802590993214065,0.8682745825602969,0.8795620437956204,Cora,gcn,centralized,0,
52,0.9808760024676126,0.8664192949907236,0.8795620437956204,Cora,gcn,centralized,0,
53,0.9796421961752005,0.8682745825602969,0.8832116788321168,Cora,gcn,centralized,0,
54,0.9790252930289944,0.8664192949907236,0.8832116788321168,Cora,gcn,centralized,0,
55,0.9796421961752005,0.8645640074211502,0.8813868613138686,Cora,gcn,centralized,0,
56,0.9796421961752005,0.8664192949907236,0.8813868613138686,Cora,gcn,centralized,0,
57,0.9796421961752005,0.8701298701298701,0.8813868613138686,Cora,gcn,centralized,0,
58,0.9777914867365823,0.87569573283859,0.8777372262773723,Cora,gcn,centralized,0,
59,0.9784083898827884,0.8738404452690167,0.8777372262773723,Cora,gcn,centralized,0,
60,0.9808760024676126,0.8719851576994434,0.8795620437956204,Cora,gcn,centralized,0,
61,0.9814929056138186,0.8664192949907236,0.8813868613138686,Cora,gcn,centralized,0,
62,0.9814929056138186,0.862708719851577,0.8813868613138686,Cora,gcn,centralized,0,
63,0.9827267119062307,0.8682745825602969,0.8832116788321168,Cora,gcn,centralized,0,
64,0.9827267119062307,0.8682745825602969,0.8832116788321168,Cora,gcn,centralized,0,
65,0.9833436150524367,0.8701298701298701,0.8795620437956204,Cora,gcn,centralized,0,
66,0.9839605181986428,0.8589981447124304,0.8813868613138686,Cora,gcn,centralized,0,
67,0.9833436150524367,0.8571428571428571,0.885036496350365,Cora,gcn,centralized,0,
68,0.9833436150524367,0.8571428571428571,0.8832116788321168,Cora,gcn,centralized,0,
69,0.9833436150524367,0.8589981447124304,0.8813868613138686,Cora,gcn,centralized,0,
70,0.9814929056138186,0.8608534322820037,0.8813868613138686,Cora,gcn,centralized,0,
71,0.9814929056138186,0.8664192949907236,0.8795620437956204,Cora,gcn,centralized,0,
72,0.9821098087600246,0.8664192949907236,0.8777372262773723,Cora,gcn,centralized,0,
73,0.9827267119062307,0.862708719851577,0.8777372262773723,Cora,gcn,centralized,0,
74,0.9827267119062307,0.862708719851577,0.8813868613138686,Cora,gcn,centralized,0,
75,0.9833436150524367,0.8608534322820037,0.8832116788321168,Cora,gcn,centralized,0,
